Fecha,P
2010-01-01,0.0
2010-01-02,0.0
2010-01-03,0.0
2010-01-04,0.0
2010-01-05,0.0
2010-01-06,0.0
2010-01-07,0.0
2010-01-08,1.0160000324249268
2010-01-09,0.5080000162124634
2010-01-10,0.2540000081062317
2010-01-11,0.0
2010-01-12,0.0
2010-01-13,0.0
2010-01-14,0.0
2010-01-15,0.0
2010-01-16,0.0
2010-01-17,0.0
2010-01-18,0.0
2010-01-19,0.0
2010-01-20,0.0
2010-01-21,0.0
2010-01-22,0.0
2010-01-23,0.0
2010-01-24,0.7620000243186951
2010-01-25,0.7620000243186951
2010-01-26,0.0
2010-01-27,0.0
2010-01-28,0.0
2010-01-29,6.350000202655792
2010-01-30,0.5080000162124634
2010-01-31,0.0
2010-02-01,0.0
2010-02-02,0.0
2010-02-03,0.0
2010-02-04,0.0
2010-02-05,0.5080000162124634
2010-02-06,0.0
2010-02-07,
2010-02-08,0.0
2010-02-09,0.5080000162124634
2010-02-10,0.0
2010-02-11,0.0
2010-02-12,0.2540000081062317
2010-02-13,0.0
2010-02-14,4.318000137805939
2010-02-15,0.2540000081062317
2010-02-16,0.0
2010-02-17,0.0
2010-02-18,0.0
2010-02-19,0.2540000081062317
2010-02-20,0.0
2010-02-21,0.0
2010-02-22,0.0
2010-02-23,0.7620000243186951
2010-02-24,0.2540000081062317
2010-02-25,1.0160000324249268
2010-02-26,0.7620000243186951
2010-02-27,0.0
2010-02-28,0.7620000243186951
2010-03-01,0.7620000243186951
2010-03-02,1.7780000567436218
2010-03-03,15.748000502586365
2010-03-04,0.5080000162124634
2010-03-05,0.0
2010-03-06,2.0320000648498535
2010-03-07,0.7620000243186951
2010-03-08,3.04800009727478
2010-03-09,0.5080000162124634
2010-03-10,0.5080000162124634
2010-03-11,1.5240000486373901
2010-03-12,0.2540000081062317
2010-03-13,3.302000105381012
2010-03-14,0.5080000162124634
2010-03-15,0.0
2010-03-16,0.0
2010-03-17,12.954000234603882
2010-03-18,0.2540000081062317
2010-03-19,0.0
2010-03-20,
2010-03-21,
2010-03-22,0.0
2010-03-23,0.0
2010-03-24,0.0
2010-03-25,0.0
2010-03-26,1.52400004863739
2010-03-27,0.7620000243186951
2010-03-28,0.0
2010-03-29,
2010-03-30,
2010-03-31,
2010-04-01,
2010-04-02,
2010-04-03,
2010-04-04,
2010-04-05,
2010-04-06,3.5560001134872437
2010-04-07,0.2540000081062317
2010-04-08,0.2540000081062317
2010-04-09,0.5080000162124634
